TRACT,LON,LAT,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,CATEGORIAS,MEDV
1606,-71.0297,42.2447,0.11132,0.0,27.74,0,0.609,5,83.5,2.1099,4,711,20.1,Medio,20.1
1701,-71.0125,42.2462,0.17331,0.0,9.69,0,0.585,5,54.0,2.3817,6,391,19.2,Medio,21.8
1702,-71.0125,42.25,0.27957,0.0,9.69,0,0.585,5,42.6,2.3817,6,391,19.2,Medio,24.5
1703,-71.0105,42.2547,0.17899,0.0,9.69,0,0.585,5,28.8,2.7986,6,391,19.2,Medio,23.1
1704,-71.001,42.2525,0.2896,0.0,9.69,0,0.585,5,72.9,2.7986,6,391,19.2,Medio,19.7
1705,-70.9947,42.2496,0.26838,0.0,9.69,0,0.585,5,70.6,2.8927,6,391,19.2,Medio,18.3
1706,-71.005,42.2455,0.23912,0.0,9.69,0,0.585,6,65.3,2.4091,6,391,19.2,Medio,21.2
1707,-70.9985,42.243,0.17783,0.0,9.69,0,0.585,5,73.5,2.3999,6,391,19.2,Medio,17.5
1708,-70.992,42.238,0.22438,0.0,9.69,0,0.585,6,79.7,2.4982,6,391,19.2,Medio,16.8
1801,-70.986,42.2312,0.06263,0.0,11.93,0,0.573,6,69.1,2.4786,1,273,21.0,Medio,22.4
1802,-70.991,42.2275,0.04527,0.0,11.93,0,0.573,6,76.7,2.2875,1,273,21.0,Medio,20.6
1803,-70.9948,42.226,0.06076,0.0,11.93,0,0.573,6,91.0,2.1675,1,273,21.0,Medio,23.9
1804,-70.9875,42.224,0.10959,0.0,11.93,0,0.573,6,89.3,2.3889,1,273,21.0,Medio,22.0
1805,-70.9825,42.221,0.04741,0.0,11.93,0,0.573,6,80.8,2.505,1,273,21.0,Medio,19.0
